Name                                 Publisher                                             Version
CAPZ.Linux.Bootstrapping             Microsoft.Azure.ContainerUpstream                     1.0.0
ChangeTracking-Windows               Microsoft.Azure.ChangeTrackingAndInventory            1.0.0.0
ChangeTracking-Windows               Microsoft.Azure.ChangeTrackingAndInventory            1.0.0.1
CAPZ.Windows.Bootstrapping           Microsoft.Azure.ContainerUpstream                     1.0.0
ApplicationMonitoringWindows         Microsoft.Azure.Diagnostics.Edp                       2.8.31
ApplicationMonitoringWindows         Microsoft.Azure.Diagnostics.Edp                       2.8.33
ApplicationMonitoringWindows         Microsoft.Azure.Diagnostics                           2.8.19
ApplicationMonitoringWindows         Microsoft.Azure.Diagnostics                           2.8.22
ApplicationMonitoringWindows         Microsoft.Azure.Diagnostics                           2.8.25
ApplicationMonitoringWindows         Microsoft.Azure.Diagnostics                           2.8.31
ApplicationMonitoringWindows         Microsoft.Azure.Diagnostics                           2.8.33
ApplicationMonitoringWindows         Microsoft.Azure.Diagnostics                           2.8.40.29
IaaSDiagnostics                      Microsoft.Azure.Diagnostics.Hotfix                    1.11.3.4
IaaSDiagnostics                      Microsoft.Azure.Diagnostics.Hotfix                    1.11.3.6
IaaSDiagnostics                      Microsoft.Azure.Diagnostics.Edp                       1.17.0.7
IaaSDiagnostics                      Microsoft.Azure.Diagnostics.Edp                       1.18.0.0
IaaSDiagnostics                      Microsoft.Azure.Diagnostics.Edp                       1.18.0.3
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.1.0.0
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.10.0.0
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.10.0.1
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.10.1.1
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.11.0.0
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.11.1.0
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.11.2.0
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.11.3.0
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.11.3.1
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.11.3.12
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.11.3.5
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.11.3.7
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.11.3.9
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.12.0.0
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.12.1.0
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.12.2.2
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.12.2.8
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.14.0.1
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.16.0.0
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.16.0.1
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.16.0.2
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.16.0.3
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.16.0.4
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.17.0.2
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.17.0.4
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.17.0.6
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.17.0.7
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.18.0.0
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.18.0.3
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.18.0.4
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.18.0.5
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.18.0.6
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.18.0.7
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.19.0.1
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.2.0.0
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.20.0.1
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.3.1.6
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.4.2.1
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.5.9.0
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.6.2.0
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.6.3.0
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.6.4.0
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.7.1.0
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.7.3.0
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.7.4.0
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.8.0.0
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.8.1.0
IaaSDiagnostics                      Microsoft.Azure.Diagnostics                           1.9.0.0
CustomScript                         Microsoft.Azure.Extensions                            2.0.0
